[22:27:00.622] [T1] [DS=False] DEBUG |  -> [X:3, Y:3, Z:27]
[22:27:00.622] [T1] [DS=False] DEBUG |  -> [X:3, Y:3, Z:28]
[22:27:00.838] [T1] [DS=False] DEBUG | Path to target:
[22:27:00.838] [T1] [DS=False] DEBUG |  -> [X:2, Y:4, Z:26]
[22:27:00.838] [T1] [DS=False] DEBUG |  -> [X:2, Y:3, Z:27]
[22:27:00.838] [T1] [DS=False] DEBUG |  -> [X:2, Y:3, Z:28]
[22:27:00.921] [T1] [DS=False] DEBUG | Path to target:
[22:27:00.921] [T1] [DS=False] DEBUG |  -> [X:-1, Y:1, Z:-7]
[22:27:00.921] [T1] [DS=False] DEBUG |  -> [X:-2, Y:1, Z:-8]
[22:27:00.921] [T1] [DS=False] DEBUG |  -> [X:-3, Y:1, Z:-9]
[22:27:00.921] [T1] [DS=False] DEBUG |  -> [X:-4, Y:2, Z:-9]
[22:27:00.921] [T1] [DS=False] DEBUG |  -> [X:-5, Y:3, Z:-9]
[22:27:00.921] [T1] [DS=False] DEBUG |  -> [X:-6, Y:4, Z:-9]
[22:27:00.921] [T1] [DS=False] DEBUG |  -> [X:-6, Y:5, Z:-10]
[22:27:00.922] [T1] [DS=False] DEBUG |  -> [X:-6, Y:6, Z:-9]
[22:27:01.025] [T1] [DS=False] DEBUG | Path to target:
[22:27:01.025] [T1] [DS=False] DEBUG |  -> [X:2, Y:4, Z:26]
[22:27:01.025] [T1] [DS=False] DEBUG |  -> [X:2, Y:3, Z:27]
[22:27:01.025] [T1] [DS=False] DEBUG |  -> [X:1, Y:2, Z:27]
[22:27:01.025] [T1] [DS=False] DEBUG |  -> [X:1, Y:1, Z:28]
[22:27:01.155] [T1] [DS=False] DEBUG | Path to target:
[22:27:01.155] [T1] [DS=False] DEBUG |  -> [X:-2, Y:1, Z:-7]
[22:27:01.155] [T1] [DS=False] DEBUG |  -> [X:-3, Y:2, Z:-7]
[22:27:01.155] [T1] [DS=False] DEBUG |  -> [X:-4, Y:3, Z:-7]
[22:27:01.155] [T1] [DS=False] DEBUG |  -> [X:-5, Y:4, Z:-7]
[22:27:01.155] [T1] [DS=False] DEBUG |  -> [X:-5, Y:5, Z:-8]
[22:27:01.155] [T1] [DS=False] DEBUG |  -> [X:-4, Y:6, Z:-8]
[22:27:01.155] [T1] [DS=False] DEBUG |  -> [X:-4, Y:7, Z:-8]
[22:27:01.229] [T1] [DS=False] DEBUG | Path to target:
[22:27:01.229] [T1] [DS=False] DEBUG |  -> [X:3, Y:4, Z:26]
[22:27:01.229] [T1] [DS=False] DEBUG |  -> [X:3, Y:4, Z:27]
[22:27:01.229] [T1] [DS=False] DEBUG |  -> [X:3, Y:4, Z:28]
[22:27:01.229] [T1] [DS=False] DEBUG |  -> [X:3, Y:4, Z:29]
[22:27:01.229] [T1] [DS=False] DEBUG |  -> [X:3, Y:4, Z:30]
[22:27:01.229] [T1] [DS=False] DEBUG |  -> [X:3, Y:4, Z:31]
[22:27:01.229] [T1] [DS=False] DEBUG |  -> [X:3, Y:4, Z:32]
[22:27:01.229] [T1] [DS=False] DEBUG |  -> [X:3, Y:4, Z:33]
[22:27:01.229] [T1] [DS=False] DEBUG |  -> [X:3, Y:4, Z:34]
[22:27:01.467] [T1] [DS=False] DEBUG | Path to target:
[22:27:01.467] [T1] [DS=False] DEBUG |  -> [X:-8, Y:0, Z:-1]
[22:27:01.467] [T1] [DS=False] DEBUG |  -> [X:-9, Y:0, Z:-2]
[22:27:01.467] [T1] [DS=False] DEBUG |  -> [X:-10, Y:0, Z:-3]
[22:27:01.467] [T1] [DS=False] DEBUG |  -> [X:-11, Y:0, Z:-4]
[22:27:01.467] [T1] [DS=False] DEBUG |  -> [X:-12, Y:0, Z:-5]
[22:27:01.467] [T1] [DS=False] DEBUG |  -> [X:-13, Y:0, Z:-6]
[22:27:01.467] [T1] [DS=False] DEBUG |  -> [X:-14, Y:0, Z:-7]
[22:27:01.467] [T1] [DS=False] DEBUG |  -> [X:-15, Y:0, Z:-8]
[22:27:01.467] [T1] [DS=False] DEBUG |  -> [X:-16, Y:0, Z:-9]
[22:27:01.467] [T1] [DS=False] DEBUG |  -> [X:-17, Y:0, Z:-10]
[22:27:01.467] [T1] [DS=False] DEBUG |  -> [X:-18, Y:0, Z:-11]
[22:27:01.467] [T1] [DS=False] DEBUG |  -> [X:-19, Y:0, Z:-12]
[22:27:01.467] [T1] [DS=False] DEBUG |  -> [X:-20, Y:0, Z:-13]
[22:27:01.467] [T1] [DS=False] DEBUG |  -> [X:-21, Y:0, Z:-14]
[22:27:01.467] [T1] [DS=False] DEBUG |  -> [X:-22, Y:0, Z:-15]
[22:27:01.467] [T1] [DS=False] DEBUG |  -> [X:-23, Y:0, Z:-16]
[22:27:01.467] [T1] [DS=False] DEBUG |  -> [X:-24, Y:0, Z:-17]
[22:27:01.467] [T1] [DS=False] DEBUG |  -> [X:-25, Y:0, Z:-18]
[22:27:01.467] [T1] [DS=False] DEBUG |  -> [X:-26, Y:0, Z:-19]
[22:27:01.467] [T1] [DS=False] DEBUG |  -> [X:-27, Y:0, Z:-20]
[22:27:01.467] [T1] [DS=False] DEBUG |  -> [X:-28, Y:0, Z:-21]
[22:27:01.467] [T1] [DS=False] DEBUG |  -> [X:-29, Y:0, Z:-22]
